ID	Lab Parameter Name	Reference	Category	Sub Category	Details
1	Acetoacetic Acid	Differential Diagnosis by Laboratory Medicine by Vincent Marks	synonyms		
2	Acetoacetic Acid	Differential Diagnosis by Laboratory Medicine by Vincent Marks	general details		Ketone body which is produced in fat metabolism - fat oxidation end product in liver + fat oxidation intermediary product in muscles.
3	Acetoacetic Acid	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values		active acromegaly, anorexia nervosa, branched-chain ketonuria, catecholamines excess, conditions - (febrile c., post-anesthesia c.), diabetic ketoacidosis, exercise in untrained subjects, glycogenoses (glycogen storage disease), hyperglycemia, hyperinsulinism, increased fat intake, methylmalonic aciduria, persistent vomiting, pregnancy, prolonged excessive insulin administration in diabetics, prolonged fasting (most common in children I to 6 years old), severe carbohydrate restriction with normal fat intake, severe thyrotoxicosis, stress, weight-reducing diets
4	Acetoacetic Acid	Differential Diagnosis by Laboratory Medicine by Vincent Marks	synonyms		acetoacetate
5	Acetoacetic Acid	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values	Interfering Factors	medicaments - (acetylsalicylic acid, ACTH, ethanol, glucocorticoids, growth hormone,levodopa, streptozocin)
6	Acetaminophen	Differential Diagnosis by Laboratory Medicine by Vincent Marks	Test Purpose		1) to confirm suspected acetaminophen toxicity from patient history or clinical observations, 2) to monitor detoxification treatment with i.v. acetykysteine.
7	Acetaminophen	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values		acetaminophen overdose
8	Acetaminophen	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values	Interfering Factors	alcohol, medicaments - (barbiturates)
9	Acetone	Differential Diagnosis by Laboratory Medicine by Vincent Marks	general details		Ketobody produced in fat metabolism. Acetone is the end product of liver fat oxidation + an intermediary product of muscle fat oxidation, originating from acetoacetic acid decarboxylation.
10	Acetone	Differential Diagnosis by Laboratory Medicine by Vincent Marks	Test Purpose		1) diagnosis of ketonemia resulting from diabetes mellitus, intestinal disorders, glycogen storage diseases and alcohol consumption.
11	Acetone	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values		acetonemic vomiting in children, alcoholism, intestinal diseases, ketoacidosis - (diabetic k., fasting k.), severe carbohydrate intake restriction, starvation
12	Acetylcholine	Differential Diagnosis by Laboratory Medicine by Vincent Marks	abbreviation		ACH
13	Acetylcholine	Differential Diagnosis by Laboratory Medicine by Vincent Marks	general details		A reversible acetic acid ester of choline. It is a cholinergic agonist.
14	Acetylcholine	Differential Diagnosis by Laboratory Medicine by Vincent Marks	production		Synthesized from choline and mitochondrially derived acetylcoenzyme A by the enzyme choline acetyltransferase. ACH is released at a motor neuron end-plate by an electrical impulse travelling down the nerve toward a muscle.
